Wavelength (nm),QE_Q_Curve,QE_Bialkali
189,0.28208043037974684,0.002678
190,0.2842852300683371,0.002678
191,0.2864619954441914,0.002678
192,0.2886387608200456,0.002678
193,0.2908155261958998,0.002678
194,0.2919966559139785,0.002678
195,0.2924859032258065,0.002678
196,0.29297515053763445,0.002678
197,0.2934643978494624,0.002678
198,0.29395364516129036,0.002678
199,0.2944428924731183,0.002678
200,0.29493213978494626,0.002678
201,0.29542138709677424,0.002678
202,0.29591063440860216,0.002678
203,0.29639988172043014,0.002678
204,0.2968891290322581,0.002678
205,0.29737837634408604,0.002678
206,0.29730150330154076,0.002678
207,0.29665850990462217,0.002678
208,0.29601551650770364,0.002678
209,0.29537252311078505,0.002678
210,0.29472952971386646,0.002678
211,0.2940865363169479,0.002678
212,0.29344354292002933,0.002678
213,0.2928005495231108,0.002678
214,0.2921575561261922,0.002678
215,0.2915145627292737,0.002678
216,0.2908715693323551,0.002678
217,0.2902285759354365,0.002678
218,0.28958558253851796,0.002678
219,0.28894258914159937,0.002678
220,0.2873578934426229,0.002678
221,0.28563248360655735,0.002678
222,0.2839070737704918,0.002678
223,0.28218166393442623,0.002678
224,0.2804562540983606,0.002678
225,0.27873084426229505,0.002678
226,0.2770054344262295,0.002678
227,0.27528002459016393,0.002678
228,0.27355461475409837,0.002678
229,0.2718220841638981,0.002678
230,0.2700319401993355,0.002678
231,0.26824179623477296,0.002678
232,0.2664516522702104,0.002678
233,0.26466150830564783,0.002678
234,0.26287136434108527,0.002678
235,0.2610812203765227,0.002678
236,0.25929107641196014,0.002678
237,0.2575009324473976,0.002678
238,0.2556829523809524,0.002678
239,0.2535448571428571,0.002678
240,0.2514067619047619,0.002678
241,0.24926866666666667,0.002678
242,0.2484320102739726,0.002678
243,0.24769331164383562,0.002678
244,0.24695461301369862,0.002678
245,0.24621591438356163,0.002678
246,0.24547721575342465,0.002678
247,0.24473851712328767,0.002678
248,0.24399981849315067,0.002678
249,0.2432611198630137,0.002678
250,0.2425224212328767,0.002678
251,0.24178372260273973,0.002678
252,0.24104502397260272,0.002678
253,0.24030632534246574,0.002678
254,0.23956762671232876,0.002678
255,0.23882892808219175,0.002678
256,0.2384941453068592,0.002678
257,0.23897943411552347,0.002678
258,0.23946472292418772,0.002678
259,0.239950011732852,0.002678
260,0.24043530054151624,0.002678
261,0.24092058935018051,0.002678
262,0.24140587815884476,0.002678
263,0.24189116696750904,0.002678
264,0.24237645577617328,0.002678
265,0.24286174458483756,0.002678
266,0.2433470333935018,0.002678
267,0.24407016370106763,0.002678
268,0.2455068185053381,0.002678
269,0.24694347330960853,0.002678
270,0.248380128113879,0.002678
271,0.24981678291814946,0.002678
272,0.2512534377224199,0.002678
273,0.2526403733183856,0.002678
