Wavelength (nm),QE_Q_Curve
299,0.28162920857863755
300,0.2824210504625736
301,0.2832128923465097
302,0.28400473423044575
303,0.2846080038043478
304,0.28519262336956525
305,0.2857772429347826
306,0.2863618625
307,0.2869464820652174
308,0.28753110163043477
309,0.2881157211956522
310,0.2887003407608696
311,0.28928496032608697
312,0.28986957989130435
313,0.29045419945652173
314,0.2910388190217391
315,0.29162343858695655
316,0.29220805815217393
317,0.2927926777173913
318,0.2933772972826087
319,0.2939619168478261
320,0.29454653641304346
321,0.2949477927852349
322,0.29517287667785236
323,0.2953979605704698
324,0.29562304446308724
325,0.29584812835570473
326,0.29607321224832217
327,0.2962982961409396
328,0.29652338003355705
329,0.2967484639261745
330,0.2969735478187919
331,0.2971986317114094
332,0.29742371560402686
333,0.2976487994966443
334,0.29787388338926174
335,0.2980989672818792
336,0.2983240511744966
337,0.2985491350671141
338,0.29877421895973155
339,0.298999302852349
340,0.29922438674496643
341,0.29944947063758387
342,0.29967455453020136
343,0.2998996384228188
344,0.30012472231543624
345,0.3001502434596903
346,0.30007747250400424
347,0.3000047015483182
348,0.2999319305926321
349,0.2998591596369461
350,0.29978638868126
351,0.2997136177255739
352,0.2996408467698879
353,0.2995680758142018
354,0.2994953048585157
355,0.2994225339028297
356,0.2993497629471436
357,0.2992769919914575
358,0.2992042210357715
359,0.2991314500800854
360,0.2990586791243994
361,0.2989859081687133
362,0.2989131372130272
363,0.2988403662573412
364,0.2986176600458365
365,0.2983853834988541
366,0.29815310695187164
367,0.2979208304048892
368,0.29768855385790677
369,0.29745627731092433
370,0.29722400076394195
371,0.2969917242169595
372,0.2967594476699771
373,0.29652717112299465
374,0.2962948945760122
375,0.2960626180290298
376,0.29583034148204734
377,0.2955980649350649
378,0.2953657883880825
379,0.2951335118411001
380,0.29490123529411766
381,0.2946689587471352
382,0.2944366822001528
383,0.29420440565317035
384,0.2939721291061879
385,0.2937398525592055
386,0.29350757601222305
387,0.2932752994652406
388,0.2930430229182582
389,0.2928107463712758
390,0.2922825296829971
391,0.2916608582132565
392,0.29103918674351587
393,0.29041751527377524
394,0.28979584380403456
395,0.28917417233429393
396,0.2885525008645533
397,0.2879308293948127
398,0.28730915792507206
399,0.28668748645533143
400,0.2860658149855908
401,0.2854441435158501
402,0.2848224720461095
403,0.2842008005763689
404,0.28357912910662825
405,0.2829574576368876
406,0.282335786167147
407,0.2815851254341953
408,0.2806488460054033
409,0.27971256657661137
410,0.2787762871478194
411,0.2778400077190274
412,0.2769037282902354
413,0.2759674488614435
414,0.2750311694326515
415,0.2740948900038595
416,0.2731586105750675
417,0.2722223311462756
418,0.2712860517174836
419,0.2703497722886916
420,0.26941349285989963
421,0.2684772134311077
422,0.2675409340023157
423,0.2666046545735237
424,0.26566837514473174
425,0.2647320957159398
426,0.2637958162871478
427,0.26285953685835584
428,0.26192325742956385
429,0.2609869780007719
430,0.26005069857197993
431,0.25911441914318795
432,0.25817813971439596
433,0.25701085248332095
434,0.2556125574499629
435,0.2542142624166049
436,0.25281596738324685
437,0.2514176723498888
438,0.2500193773165308
439,0.24862108228317273
440,0.2472227872498147
441,0.24582449221645664
442,0.2444261971830986
443,0.24302790214974057
444,0.2416296071163825
445,0.24023131208302448
446,0.23883215265306124
447,0.23734741795918368
448,0.23586268326530613
449,0.23437794857142857
450,0.23289321387755105
451,0.2314084791836735
452,0.22992374448979594
453,0.22843900979591839
454,0.22695427510204083
455,0.22546954040816328
456,0.22398480571428572
457,0.22250007102040817
458,0.22101533632653061
459,0.21937095787009947
460,0.2176761655939146
461,0.21598137331772968
462,0.21428658104154477
463,0.21259178876535986
464,0.21089699648917495
